artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Rajiv Dhall,84,84,3qePCADpvWQ38YCLxXBrdU,0.448,0.413,5,-7.411,1,0.0511,0,0.121,0.406,169.319,155729,4,warm_fuzzy_feeling
Niall Horan,Put A Little Love On Me,Put A Little Love On Me,1hCTxutVVYvggAQcUUUZAT,0.584,0.465,10,-4.88,1,0.0262,0,0.106,0.299,95.969,224586,4,warm_fuzzy_feeling
Jake Scott,Favorite T-Shirt (Acoustic),Favorite T-Shirt (Acoustic),0sem2PTbwYJdCHoDn487TE,0.823,0.399,9,-8.608,1,0.0571,0,0.123,0.607,114.999,188442,4,warm_fuzzy_feeling
Jaymes Young,Happiest Year,Happiest Year,5kcvBnt6DPX3AMEsCx1qDh,0.501,0.167,1,-14.061,1,0.0484,0,0.111,0.356,112.275,228443,3,warm_fuzzy_feeling
CAL,Dressed Up In White,Dressed Up In White,0MoupiG0cMvbfPV1nwZAry,0.735,0.422,3,-8.208,1,0.0733,0,0.208,0.399,146.062,203836,4,warm_fuzzy_feeling
Sigrid,Home To You,Home To You,0qBug5X3DaJv2zgXtp55wn,0.619,0.146,8,-14.439,1,0.0382,0,0.0971,0.288,139.533,221587,4,warm_fuzzy_feeling
Harry Styles,Fine Line,Cherry,2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,7,-9.261,1,0.0259,0.00453,0.129,0.411,95.946,259187,4,warm_fuzzy_feeling
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0,0.109,0.604,75.801,208687,4,warm_fuzzy_feeling
A Great Big World,Fall On Me,Fall On Me,1sbNEp1zyMXQCXUHNllTaR,0.459,0.292,9,-6.235,1,0.0348,0,0.119,0.226,110.674,263054,4,warm_fuzzy_feeling
Dan + Shay,"10,000 Hours (with Justin Bieber) [Piano]","10,000 Hours (with Justin Bieber) - Piano",6HjF1gzVEZMb4GplnGl9B3,0.426,0.366,10,-6.514,1,0.0312,0,0.117,0.386,179.736,172320,4,warm_fuzzy_feeling
Tyler Ward,One More Time Around,One More Time Around,3DyhwZyBFedvnt68fMi6vf,0.429,0.358,0,-9.076,1,0.0346,0,0.0875,0.187,134.279,205667,4,warm_fuzzy_feeling
Tom Walker,Better Half of Me,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,0.576,0.453,3,-4.4,1,0.0294,0,0.267,0.418,107.89,195452,4,warm_fuzzy_feeling
Donovan Woods,The Other Way,I Ain't Ever Loved No One - Acoustic,3i8ZkeKgwu1t4m8SPPzNvv,0.32,0.223,10,-14.728,0,0.0329,0,0.106,0.158,160.626,199594,4,warm_fuzzy_feeling
Kacey Musgraves,Golden Hour,Rainbow,79qxwHypONUt3AFq0WPpT9,0.581,0.197,3,-7.697,1,0.0329,0,0.107,0.349,130.367,214293,4,warm_fuzzy_feeling
Bruno Major,The Most Beautiful Thing,The Most Beautiful Thing,7EncNzyGs8uJiQittB38ef,0.806,0.362,7,-10.381,1,0.0345,0.045,0.111,0.42,127.502,235427,4,warm_fuzzy_feeling
James Arthur,Falling Like The Stars,Falling Like The Stars,15xWRPHQMeqgdkGzInx3PY,0.296,0.351,6,-9.538,1,0.0351,1.5e-06,0.11,0.19,177.596,212720,3,warm_fuzzy_feeling
Phoebe Bridgers,Spotify Singles,Friday I’m In Love - Recorded at Spotify Studios NYC,07vS8obfeZbr8H4MgQfXR7,0.373,0.123,7,-15.193,1,0.0407,0,0.0816,0.138,97.129,220813,4,warm_fuzzy_feeling
Ed Sheeran,Best Part of Me (feat. YEBBA),Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,0.565,0.242,2,-8.367,1,0.0318,9.3e-06,0.285,0.237,81.657,243267,4,warm_fuzzy_feeling
Ryan Hurd,To a T (Stripped),To a T - Stripped,6di48z6eF5dBYVpB0tZV5i,0.599,0.325,9,-6.793,1,0.0297,3.66e-06,0.133,0.319,114.053,198386,4,warm_fuzzy_feeling
Alicia Keys,Spotify Singles,ocean eyes - Recorded Live at Jungle City Studios,7rLokcIMP9p8fl0iROdVfC,0.353,0.148,7,-13.108,1,0.0421,0,0.112,0.297,88.203,184548,5,warm_fuzzy_feeling
Jonas Brothers,Happiness Begins,Love Her,2hgk8iKN9UdoM4ILlJ9F5N,0.74,0.337,8,-6.039,1,0.0282,0,0.0944,0.56,103.002,193133,4,warm_fuzzy_feeling
James Bay,Oh My Messy Mind,Break My Heart Right,6BP8sg44smNB3pbD4QAOzi,0.63,0.103,2,-11.6,1,0.0499,1.14e-06,0.0915,0.298,113.61,204013,4,warm_fuzzy_feeling
Daniel Caesar,Freudian,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,0.524,0.364,7,-10.209,1,0.0367,0,0.1,0.436,75.24,209831,4,warm_fuzzy_feeling
Lo Moon,"For Me, It's You","For Me, It's You",2odYUJ9LhwDVVPxXL3NxuB,0.452,0.46,0,-12.986,1,0.0327,0.0199,0.177,0.199,81.957,240027,4,warm_fuzzy_feeling
Dan + Shay,Dan + Shay,Speechless,3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1,-5.968,1,0.0298,0,0.24,0.386,135.929,213387,4,warm_fuzzy_feeling
Imaginary Future,I Will Spend My Whole Life Loving You,I Will Spend My Whole Life Loving You,77enz5hl8RicxrbPB56VXQ,0.637,0.129,11,-17.082,1,0.0346,0,0.0719,0.298,125.802,227619,4,warm_fuzzy_feeling
Hozier,Hozier,Cherry Wine - Live,0bZ52QzCCKfrfOqs7za6lI,0.415,0.11,1,-14.901,1,0.0388,0.00234,0.0962,0.234,81.876,240147,4,warm_fuzzy_feeling
Haley Reinhart,Can't Help Falling in Love,Can't Help Falling in Love,0Rm2G83ELwkuEgpHlJcBPn,0.406,0.0307,0,-17.636,1,0.04,0,0.0984,0.245,136.716,173500,4,warm_fuzzy_feeling
AJR,Spotify Singles,Location - Recorded at Spotify Studios NYC,7jwZYPS8reDirsT4Mvqpui,0.566,0.261,10,-8.801,1,0.0375,0,0.106,0.477,97.595,178795,4,warm_fuzzy_feeling
Taylor Swift,Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,0.448,0.603,7,-7.176,1,0.064,0,0.0862,0.422,205.272,221307,3,warm_fuzzy_feeling
James Bay,James Bay Spotify Session 2015,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",1zJpJ3HPRtAYYNLWm5BJEf,0.652,0.18,5,-9.735,0,0.111,4.04e-06,0.71,0.328,115.218,261120,3,warm_fuzzy_feeling
One Direction,Take Me Home: Yearbook Edition,Little Things,7kSLdGdXLey7pzLsWpdg1h,0.707,0.222,7,-11.716,1,0.0329,0,0.205,0.556,110.095,219640,4,warm_fuzzy_feeling
Timeflies,Stuck With Me,Stuck With Me,6wR1c5Dv5PI3sXmC3ZwJPk,0.565,0.387,0,-13.331,1,0.152,5.02e-06,0.111,0.222,79.57,172120,4,warm_fuzzy_feeling
Niall Horan,Flicker (Deluxe),This Town,0qvzXomUDJVaUboy2wMfiS,0.677,0.401,9,-8.467,1,0.0308,0,0.116,0.195,111.825,232852,4,warm_fuzzy_feeling
Kodaline,In A Perfect World,All I Want,5JuA3wlm0kn7IHfbeHV0i6,0.226,0.408,0,-9.74,1,0.0432,0.131,0.187,0.142,91.341,306387,3,warm_fuzzy_feeling
John Legend,Spotify Singles,Love Me Now - Recorded at Spotify Studios NYC,2pPRgFEENF3LtuxYUPuT24,0.508,0.233,8,-8.311,1,0.0535,0,0.111,0.421,85.543,228507,3,warm_fuzzy_feeling
Sara Bareilles,Little Voice,Gravity,4oa14QBfWRDfJy2agySy0L,0.27,0.275,0,-10.357,1,0.0356,0,0.146,0.232,168.653,232760,4,warm_fuzzy_feeling
Jessie Ware,Say You Love Me,Say You Love Me,2hcPE11xSLCNHt5PYidj5U,0.387,0.413,7,-8.95,1,0.0559,1.56e-05,0.262,0.249,173.73,257484,3,warm_fuzzy_feeling
John Mayer,XO,XO,7cpCU3Denug5NGZsSpQl8v,0.431,0.377,2,-9.753,1,0.0288,0,0.211,0.353,173.67,213627,4,warm_fuzzy_feeling
Angus & Julia Stone,Spotify Sessions,Stay With Me - Live From Spotify Berlin,2GiYPEgOA7hb7sqsEWX8df,0.614,0.101,0,-22.159,1,0.0395,0.0217,0.707,0.155,75.902,174360,4,warm_fuzzy_feeling
Ed Sheeran,+,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,0.589,0.227,2,-16.67,1,0.0498,0.00469,0.0248,0.182,74.993,280853,4,warm_fuzzy_feeling
Bright Eyes,"I'm Wide Awake, It's Morning",First Day Of My Life,5OiaAaIMYlCZONyDBxqk4G,0.468,0.201,4,-17.024,1,0.0388,8.28e-05,0.0952,0.383,94.422,188800,4,warm_fuzzy_feeling
Adele,19,Make You Feel My Love,7rPLZ8Krm6CZIbraFUlnWZ,0.325,0.18,10,-10.647,1,0.0311,0.000633,0.113,0.0997,72.416,212040,1,warm_fuzzy_feeling
Jack Johnson,In Between Dreams,Better Together,4VywXu6umkIQ2OS0m1I79y,0.868,0.347,5,-9.529,1,0.0536,2e-05,0.11,0.659,110.059,207680,4,warm_fuzzy_feeling
Ellie Goulding,Halcyon Days,How Long Will I Love You - Bonus Track,0ZPfDxZn5O0L84wvPSN2iG,0.512,0.304,0,-9.19,1,0.0318,0.000622,0.118,0.172,126.078,154435,5,warm_fuzzy_feeling
Ed Sheeran,x (Deluxe Edition),Tenerife Sea,1HbcclMpw0q2WDWpdGCKdS,0.53,0.346,8,-10.497,1,0.0376,1.07e-05,0.105,0.359,121.876,241347,4,warm_fuzzy_feeling
Alicia Keys,The Diary Of Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,0.609,0.445,7,-9.129,1,0.106,6.77e-06,0.104,0.166,118.393,228707,3,warm_fuzzy_feeling
Train,"Save Me, San Francisco (Golden Gate Edition)",Marry Me,0VZ9xPNa6ROafP6GYYuv2S,0.366,0.269,0,-8.456,1,0.0287,1.67e-05,0.108,0.492,86.577,205453,4,warm_fuzzy_feeling
Jason Mraz,We Sing. We Dance. We Steal Things.,Lucky,0IktbUcnAGrvD03AWnz3Q8,0.623,0.417,0,-8.699,1,0.0354,0,0.135,0.721,130.032,191360,4,warm_fuzzy_feeling
John Mayer,Where the Light Is: John Mayer Live In Los Angeles,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc,0.315,0.296,5,-13.262,1,0.0317,0,0.702,0.436,172.638,263573,4,warm_fuzzy_feeling
Lily Allen,Somewhere Only We Know,Somewhere Only We Know,3DDGhkxq3FeUorZppSgeLE,0.314,0.286,10,-10.191,1,0.035,0.0258,0.0999,0.278,172.021,208154,4,warm_fuzzy_feeling
Coldplay,Parachutes,Yellow,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00013,0.234,0.285,173.365,266773,4,warm_fuzzy_feeling
Adele,21,Turning Tables,5O6yk6U8L3rTbFsIwuqe8H,0.305,0.452,0,-6.077,0,0.0293,1.68e-05,0.129,0.21,79.83,250133,4,warm_fuzzy_feeling
Colbie Caillat,Coco,Bubbly,0rFOs9paloAvEtzwDX1Kmc,0.697,0.474,9,-6.663,1,0.0351,0,0.11,0.249,127.904,196280,4,warm_fuzzy_feeling
One Direction,FOUR (Deluxe),Night Changes,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0,0.115,0.37,120.001,226600,4,warm_fuzzy_feeling
Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,0.585,0.303,4,-10.058,1,0.0398,0,0.115,0.142,136.703,240166,3,warm_fuzzy_feeling
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,The One That Got Away - Acoustic,5jx8tCxiO0uIbo2uNia23K,0.714,0.434,4,-11.542,1,0.0396,0,0.0919,0.352,123.942,259040,4,warm_fuzzy_feeling
Snow Patrol,Eyes Open,Chasing Cars,11bD1JtSjlIgKgZG2134DZ,0.563,0.592,9,-4.571,1,0.0276,5.08e-05,0.132,0.136,104.016,267933,4,warm_fuzzy_feeling
Coldplay,X&Y,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.00196,0.113,0.124,138.178,295533,4,warm_fuzzy_feeling
Meghan Trainor,Title (Deluxe),Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0,-7.259,1,0.0434,0,0.177,0.417,108.038,225053,3,warm_fuzzy_feeling
